backbone_km,n_repeaters,hops,utility,status
29.0,0,1,3.565134801295004,optimal
29.5,0,1,3.531915520346131,optimal
30.0,0,1,3.498696239397257,optimal
30.5,0,1,3.465476958448383,optimal
31.0,0,1,3.4322576774995093,optimal
31.5,0,1,3.399038396550636,optimal
32.0,0,1,3.365819115601762,optimal
32.5,0,1,3.3325998346528896,optimal
33.0,0,1,3.2993805537040153,optimal
33.5,0,1,3.266161272755141,optimal
34.0,0,1,3.2329419918062685,optimal
34.5,0,1,3.1997227108573947,optimal
35.0,0,1,3.1665034299085213,optimal
35.5,0,1,3.133284148959647,optimal
36.0,0,1,3.100064868010774,optimal
36.5,0,1,3.066845587061899,optimal
37.0,0,1,3.0336263061130255,optimal
37.5,0,1,3.000407025164153,optimal
38.0,0,1,2.9671877442152796,optimal
38.5,1,2,2.9386909367007457,optimal
39.0,1,2,2.920571328910451,optimal
39.5,1,2,2.9024517211201566,optimal
40.0,1,2,2.8843321133298616,optimal
40.5,1,2,2.8662125055395675,optimal
41.0,1,2,2.848092897749272,optimal
41.5,1,2,2.829973289958977,optimal
42.0,1,2,2.811853682168682,optimal
42.5,1,2,2.793734074378388,optimal
43.0,1,2,2.775614466588093,optimal
43.5,1,2,2.7574948587977985,optimal
44.0,1,2,2.739375251007504,optimal
44.5,1,2,2.721255643217209,optimal
45.0,1,2,2.7031360354269145,optimal
45.5,1,2,2.6850164276366195,optimal
46.0,1,2,2.6668968198463254,optimal
46.5,1,2,2.64877721205603,optimal
47.0,1,2,2.6306576042657355,optimal
47.5,1,2,2.6125379964754405,optimal
48.0,1,2,2.594418388685146,optimal
48.5,1,2,2.5762987808948514,optimal
49.0,1,2,2.5581791731045573,optimal
49.5,1,2,2.540059565314262,optimal
50.0,1,2,2.5219399575239665,optimal
50.5,1,2,2.503820349733673,optimal
51.0,1,2,2.485700741943378,optimal
51.5,1,2,2.4675811341530838,optimal
52.0,1,2,2.449461526362789,optimal
52.5,1,2,2.431341918572494,optimal
53.0,1,2,2.4132223107821984,optimal
53.5,1,2,2.3951027029919048,optimal
54.0,1,2,2.3769830952016098,optimal
54.5,1,2,2.3588634874113152,optimal
55.0,1,2,2.3407438796210203,optimal
55.5,1,2,2.3226242718307253,optimal
56.0,1,2,2.3045046640404308,optimal
56.5,1,2,2.286385056250136,optimal
57.0,1,2,2.2682654484598417,optimal
57.5,1,2,2.250145840669547,optimal
58.0,1,2,2.2320262328792517,optimal
58.5,1,2,2.213906625088957,optimal
59.0,1,2,2.1957870172986627,optimal
59.5,1,2,2.177667409508368,optimal
60.0,1,2,2.1595478017180736,optimal
60.5,1,2,2.1414281939277786,optimal
61.0,1,2,2.1233085861374836,optimal
61.5,1,2,2.1051889783471887,optimal
62.0,1,2,2.087069370556894,optimal
62.5,1,2,2.0689497627666,optimal
63.0,1,2,2.050830154976305,optimal
63.5,1,2,2.0327105471860105,optimal
64.0,1,2,2.014590939395715,optimal
64.5,1,2,1.9964713316054212,optimal
65.0,1,2,1.9783517238151265,optimal
65.5,1,2,1.9602321160248315,optimal
66.0,1,2,1.942112508234537,optimal
66.5,1,2,1.9239929004442424,optimal
67.0,1,2,1.9058732926539474,optimal
67.5,1,2,1.8877536848636527,optimal
68.0,1,2,1.8696340770733582,optimal
68.5,1,2,1.8515144692830634,optimal
69.0,1,2,1.8333948614927689,optimal
69.5,1,2,1.8152752537024737,optimal
70.0,1,2,1.7971556459121791,optimal
70.5,1,2,1.7790360381218846,optimal
71.0,1,2,1.7609164303315896,optimal
71.5,1,2,1.7427968225412953,optimal
72.0,1,2,1.7246772147510003,optimal
72.5,1,2,1.7065576069607056,optimal
73.0,1,2,1.6884379991704104,optimal
73.5,1,2,1.6703183913801167,optimal
74.0,1,2,1.6521987835898215,optimal
74.5,1,2,1.634079175799527,optimal
75.0,1,2,1.6159595680092316,optimal
75.5,1,2,1.597839960218938,optimal
76.0,1,2,1.579720352428643,optimal
76.5,1,2,1.561600744638348,optimal
77.0,1,2,1.5434811368480532,optimal
77.5,1,2,1.5253615290577587,optimal
78.0,1,2,1.507241921267464,optimal
78.5,1,2,1.4891223134771685,optimal
79.0,1,2,1.4710027056868753,optimal
79.5,1,2,1.4528830978965794,optimal
80.0,1,2,1.4347634901062856,optimal
80.5,1,2,1.4166438823159901,optimal
81.0,1,2,1.3985242745256963,optimal
81.5,1,2,1.3804046667354015,optimal
82.0,1,2,1.3622850589451065,optimal
82.5,1,2,1.3441654511548118,optimal
83.0,1,2,1.326045843364517,optimal
83.5,1,2,1.3079262355742225,optimal
84.0,1,2,1.2898066277839269,optimal
84.5,1,2,1.2716870199936334,optimal
85.0,1,2,1.253567412203338,optimal
85.5,1,2,1.2354478044130437,optimal
86.0,1,2,1.2173281966227485,optimal
86.5,1,2,1.1992085888324544,optimal
87.0,1,2,1.1810889810421599,optimal
87.5,1,2,1.1629693732518651,optimal
88.0,1,2,1.1448497654615692,optimal
88.5,1,2,1.126730157671275,optimal
89.0,1,2,1.10861054988098,optimal
89.5,1,2,1.0904909420906852,optimal
90.0,1,2,1.072371334300391,optimal
90.5,1,2,1.0542517265100966,optimal
91.0,1,2,1.0361321187198012,optimal
91.5,1,2,1.0180125109295064,optimal
92.0,1,2,0.9998929031392131,optimal
92.5,1,2,0.9817732953489178,optimal
93.0,1,2,0.9636536875586227,optimal
93.5,1,2,0.945534079768328,optimal
94.0,1,2,0.9274144719780328,optimal
94.5,1,2,0.909294864187738,optimal
95.0,1,2,0.8911752563974434,optimal
95.5,1,2,0.8730556486071498,optimal
96.0,1,2,0.8549360408168547,optimal
96.5,2,3,0.8376446382883047,optimal
97.0,2,3,0.8255648997614418,optimal
97.5,2,3,0.8134851612345789,optimal
98.0,2,3,0.801405422707716,optimal
98.5,2,3,0.7893256841808524,optimal
99.0,2,3,0.7772459456539894,optimal
99.5,2,3,0.7651662071271262,optimal
100.0,2,3,0.7530864686002628,optimal
100.5,2,3,0.7410067300733998,optimal
101.0,2,3,0.7289269915465363,optimal
101.5,2,3,0.7168472530196738,optimal
102.0,2,3,0.7047675144928102,optimal
102.5,2,3,0.6926877759659471,optimal
103.0,2,3,0.680608037439084,optimal
103.5,2,3,0.668528298912221,optimal
104.0,2,3,0.6564485603853576,optimal
104.5,2,3,0.6443688218584948,optimal
105.0,2,3,0.6322890833316315,optimal
105.5,2,3,0.6202093448047681,optimal
106.0,2,3,0.608129606277905,optimal
106.5,2,3,0.5960498677510421,optimal
107.0,2,3,0.5839701292241795,optimal
107.5,2,3,0.5718903906973156,optimal
108.0,2,3,0.5598106521704527,optimal
108.5,2,3,0.5477309136435898,optimal
109.0,2,3,0.5356511751167268,optimal
109.5,2,3,0.5235714365898629,optimal
110.0,2,3,0.5114916980630002,optimal
110.5,2,3,0.499411959536137,optimal
111.0,2,3,0.4873322210092739,optimal
111.5,2,3,0.47525248248241087,optimal
112.0,2,3,0.4631727439555475,optimal
112.5,2,3,0.4510930054286848,optimal
113.0,2,3,0.4390132669018212,optimal
113.5,2,3,0.4269335283749579,optimal
114.0,2,3,0.4148537898480953,optimal
114.5,2,3,0.4027740513212324,optimal
115.0,2,3,0.3906943127943683,optimal
115.5,2,3,0.3786145742675055,optimal
116.0,2,3,0.366534835740643,optimal
116.5,2,3,0.35445509721377927,optimal
117.0,2,3,0.3423753586869161,optimal
117.5,2,3,0.3302956201600532,optimal
118.0,2,3,0.31821588163319015,optimal
118.5,2,3,0.30613614310632675,optimal
119.0,2,3,0.29405640457946364,optimal
