point,budget,memories,plan,pair,hops,width,max_link_km,wp_min,tau_e2e_ms,storage_ms_heralded,slowest_ms_heralded,t2_ms,repeaters
midrange,10,2048,wait_paper_storage_heralded,Kamloops-Kelowna,3,1024,63.3,6.217750483875721,1.9000000000000001,2.052324381597032,0.10154935875916755,10.0,KAM-KEL:1;KAM-KEL:2
midrange,10,2048,wait_paper_storage_heralded,Kamloops-Vancouver,5,1024,72.0,3.0924305616916645,3.6000000000000005,4.0843235419209885,0.23247483007444797,10.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,10,2048,wait_paper_storage_heralded,Kelowna-Vancouver,8,1024,72.0,3.0924305616916645,5.500000000000001,6.021161867148183,0.23247483007444797,10.0,KAM-KEL:2;KAM-KEL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,10,2048,wait_paper_storage_heralded,Montreal-Ottawa,3,2048,66.7,9.505973931238978,2.0,2.104952913063806,0.06996845094524132,10.0,OTT-MON:2;OTT-MON:1
midrange,10,2048,wait_coord_storage_heralded,Kamloops-Kelowna,3,1024,63.3,6.217750483875721,1.9000000000000001,2.052324381597032,0.10154935875916755,10.0,KAM-KEL:1;KAM-KEL:2
midrange,10,2048,wait_coord_storage_heralded,Kamloops-Vancouver,5,1024,72.0,3.0924305616916645,3.6000000000000005,4.0843235419209885,0.23247483007444797,10.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,10,2048,wait_coord_storage_heralded,Kelowna-Vancouver,8,1024,72.0,3.0924305616916645,5.500000000000001,6.021161867148183,0.23247483007444797,10.0,KAM-KEL:2;KAM-KEL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,10,2048,wait_coord_storage_heralded,Montreal-Ottawa,3,2048,66.7,9.505973931238978,2.0,2.104952913063806,0.06996845094524132,10.0,OTT-MON:2;OTT-MON:1
projected,1000000,2048,base_paper,Calgary-Edmonton,4,512,75.0,1.2141433372987676,3.0,4.131144793529469,0.6169867757511408,100.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3
projected,1000000,2048,base_paper,Calgary-Kamloops,8,256,75.0,0.6070716686493838,6.0,9.199523324219632,1.2339735515022814,100.0,KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1
projected,1000000,2048,base_paper,Calgary-Kelowna,8,512,76.2,1.0977917456486765,6.1000000000000005,7.899008888137292,0.6938312873278984,100.0,KEL-CAL:7;KEL-CAL:6;KEL-CAL:5;KEL-CAL:4;KEL-CAL:3;KEL-CAL:2;KEL-CAL:1
projected,1000000,2048,base_paper,Calgary-Saskatoon,8,512,80.0,0.8114653145400904,6.4,8.954201011368609,0.985089394220302,100.0,CAL-SAS:1;CAL-SAS:2;CAL-SAS:3;CAL-SAS:4;CAL-SAS:5;CAL-SAS:6;CAL-SAS:7
projected,1000000,2048,base_paper,Calgary-Vancouver,13,256,75.0,0.6070716686493838,9.600000000000001,13.123957740433385,1.2339735515022814,100.0,KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
projected,1000000,2048,base_paper,Edmonton-Kamloops,12,512,75.0,1.2141433372987676,9.000000000000002,10.863227918357028,0.6169867757511408,100.0,CAL-EDM:3;CAL-EDM:2;CAL-EDM:1;Calgary;KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1
projected,1000000,2048,base_paper,Edmonton-Kelowna,12,256,76.2,0.5488958728243383,9.1,13.14689548731078,1.3876625746557962,100.0,CAL-EDM:3;CAL-EDM:2;CAL-EDM:1;Calgary;KEL-CAL:7;KEL-CAL:6;KEL-CAL:5;KEL-CAL:4;KEL-CAL:3;KEL-CAL:2;KEL-CAL:1
projected,1000000,2048,base_paper,Edmonton-Saskatoon,7,512,75.7,1.1462252229469914,5.299999999999999,6.9165465486777915,0.6598136296102786,100.0,EDM-SAS:1;EDM-SAS:2;EDM-SAS:3;EDM-SAS:4;EDM-SAS:5;EDM-SAS:6
projected,1000000,2048,base_paper,Edmonton-Vancouver,17,256,75.0,0.6070716686493838,12.6,16.527753296855966,1.2339735515022814,100.0,CAL-EDM:3;CAL-EDM:2;CAL-EDM:1;Calgary;KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
projected,1000000,2048,base_paper,Kamloops-Kelowna,3,512,63.3,3.1088752419378607,1.9000000000000001,2.2046487631940646,0.20309871751833578,100.0,KAM-KEL:1;KAM-KEL:2
projected,1000000,2048,base_paper,Kamloops-Saskatoon,19,256,75.7,0.5731126114734957,14.3,18.72828895860851,1.3196272592205567,100.0,KAM-CAL:1;KAM-CAL:2;KAM-CAL:3;KAM-CAL:4;KAM-CAL:5;KAM-CAL:6;KAM-CAL:7;Calgary;CAL-EDM:1;CAL-EDM:2;CAL-EDM:3;Edmonton;EDM-SAS:1;EDM-SAS:2;EDM-SAS:3;EDM-SAS:4;EDM-SAS:5;EDM-SAS:6
projected,1000000,2048,base_paper,Kamloops-Vancouver,5,512,72.0,1.5462152808458323,3.6000000000000005,4.568647083841976,0.46494966014889594,100.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
projected,1000000,2048,base_paper,Kelowna-Saskatoon,19,256,76.2,0.5488958728243383,14.4,19.05895374126416,1.3876625746557962,100.0,KEL-CAL:1;KEL-CAL:2;KEL-CAL:3;KEL-CAL:4;KEL-CAL:5;KEL-CAL:6;KEL-CAL:7;Calgary;CAL-EDM:1;CAL-EDM:2;CAL-EDM:3;Edmonton;EDM-SAS:1;EDM-SAS:2;EDM-SAS:3;EDM-SAS:4;EDM-SAS:5;EDM-SAS:6
projected,1000000,2048,base_paper,Kelowna-Vancouver,8,512,72.0,1.5462152808458323,5.500000000000001,6.542323734296366,0.46494966014889594,100.0,KAM-KEL:2;KAM-KEL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
projected,1000000,2048,base_paper,Montreal-Ottawa,3,1024,66.7,4.752986965619489,2.0,2.20990582612762,0.1399369018904885,100.0,OTT-MON:2;OTT-MON:1
projected,1000000,2048,base_paper,Montreal-Toronto,9,1024,75.0,2.428286674597535,6.500000000000001,7.2424262149634036,0.30849338787557035,100.0,OTT-MON:2;OTT-MON:1;Ottawa;TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1
projected,1000000,2048,base_paper,Ottawa-Toronto,6,1024,75.0,2.428286674597535,4.500000000000001,5.204394629984817,0.30849338787557035,100.0,TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1
projected,1000000,2048,base_paper,Saskatoon-Vancouver,19,512,144.0,0.004669495497502257,16.0,478.53362553968435,308.3830864131333,100.0,CAL-SAS:7;CAL-SAS:6;CAL-SAS:5;CAL-SAS:4;CAL-SAS:3;CAL-SAS:2;CAL-SAS:1;Calgary;KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1;Kamloops;VAN-KAM:3;VAN-KAM:1
