point,budget,memories,plan,pair,hops,width,max_link_km,repeaters,wp_min,utility_under_paper,utility_under_coordinated,utility_under_ext
midrange,20,100,paper,Montreal-Ottawa,3,27,66.7,OTT-MON:2;OTT-MON:1,0.12532289850754513,8.890030107912368,8.018887175336305,2.6388487205231295
midrange,20,100,paper,Montreal-Toronto,9,27,75.0,OTT-MON:2;OTT-MON:1;Ottawa;TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1,0.0640270900528647,3.940385967991925,2.6179781377078823,-25.398931219817825
midrange,20,100,paper,Ottawa-Toronto,6,52,75.0,TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1,0.12331143269440609,6.90842189886801,5.617323921968148,-8.708251577425306
midrange,20,100,coordinated,Calgary-Edmonton,4,100,75.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3,0.23713737056616555,9.162872839516778,8.10566292277757,2.2698425220726883
midrange,20,100,coordinated,Kamloops-Kelowna,3,52,63.3,KAM-KEL:1;KAM-KEL:2,0.31574514175931395,10.22314060162685,9.35303413702495,6.247302309227804
midrange,20,100,coordinated,Kamloops-Vancouver,5,27,72.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,0.08153869645085443,6.970208819981862,5.781220008640862,-7.776899741125049
midrange,20,100,coordinated,Kelowna-Vancouver,8,27,72.0,KAM-KEL:2;KAM-KEL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,0.08153869645085443,4.972483791829318,3.743335040411302,-17.938599761216953
midrange,20,100,coordinated,Montreal-Ottawa,3,52,66.7,OTT-MON:2;OTT-MON:1,0.24136261934786468,9.835582323889993,8.964439391313928,5.233347787440292
midrange,20,100,coordinated,Montreal-Toronto,9,27,75.0,OTT-MON:2;OTT-MON:1;Ottawa;TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1,0.0640270900528647,3.940385967991925,2.6179781377078823,-25.398931219817825
midrange,20,100,coordinated,Ottawa-Toronto,6,27,75.0,TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1,0.0640270900528647,5.962869682890386,4.6717717059905235,-14.128687141477732
midrange,20,100,ext,Calgary-Edmonton,4,100,75.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3,0.23713737056616555,9.162872839516778,8.10566292277757,2.2698425220726883
