point,source,generation_rate_hz,t2_s,link_fidelity,swap_success,budget,memories,paper_status,paper_utility,paper_repeaters,paper_served,paper_mean_hops,coordinated_status,coordinated_utility,coordinated_repeaters,coordinated_served,coordinated_mean_hops,paper_min_wp,paper_median_wp,coordinated_outcome,coordinated_change_kind,coordinated_regret_bits,coordinated_reverse_regret_bits,coordinated_regret_bits_per_pair,coordinated_site_jaccard,coordinated_sites_only_paper,coordinated_sites_only_other,coordinated_d_repeaters,coordinated_d_served,coordinated_pairs_path_differs,coordinated_pairs_width_differs,coordinated_d_mean_hops,coordinated_d_mean_width,coordinated_rate_gain_bits_common
lhs025,lhs,1667.4084333327887,0.002763358321097805,0.9874550722896096,0.8503714041977402,20,2048,optimal,25.134784171554987,4,2,3.0,optimal,23.393534774377414,4,2,3.0,9.505973931238978,10.97073744949521,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lhs025,lhs,1667.4084333327887,0.002763358321097805,0.9874550722896096,0.8503714041977402,10,2048,optimal,25.134784171554987,4,2,3.0,optimal,23.393534774377414,4,2,3.0,9.505973931238978,10.97073744949521,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lhs026,lhs,7945.169251963488,0.0014347227053247721,0.9979628923944583,0.7762172770941398,1000000,2048,optimal,0.0,0,0,,optimal,0.0,0,0,,,,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lhs026,lhs,7945.169251963488,0.0014347227053247721,0.9979628923944583,0.7762172770941398,20,2048,optimal,0.0,0,0,,optimal,0.0,0,0,,,,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lhs026,lhs,7945.169251963488,0.0014347227053247721,0.9979628923944583,0.7762172770941398,10,2048,optimal,0.0,0,0,,optimal,0.0,0,0,,,,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lhs027,lhs,31640.157169822487,0.024173710712703585,0.9224896851158778,0.9177600687931812,1000000,2048,optimal,129.71002336250163,54,18,6.444444444444445,optimal,107.85885809359397,54,18,6.444444444444445,5.7447344860260736e-06,0.6070716686493838,tie,,1.4210854715202004e-14,-2.842170943040401e-14,7.894919286223335e-16,1.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,-4.9343245538895844e-17
lhs027,lhs,31640.157169822487,0.024173710712703585,0.9224896851158778,0.9177600687931812,20,2048,optimal,23.347109877145265,20,18,4.888888888888889,optimal,9.108432509872472,20,18,4.888888888888889,1.3655259465352438e-05,0.0014395937924872937,tie,,1.7763568394002505e-15,7.105427357601002e-15,9.868649107779169e-17,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-7.401486830834377e-17
lhs027,lhs,31640.157169822487,0.024173710712703585,0.9224896851158778,0.9177600687931812,10,2048,optimal,-147.45088119964637,10,16,3.25,optimal,-154.66210117038,10,16,3.25,4.047715405015526e-09,5.0681735890487804e-08,tie,,0.0,-2.842170943040401e-14,0.0,0.8181818181818182,1.0,1.0,0.0,0.0,4.0,9.0,0.0,-16.0,1.249000902703301e-16
lhs028,lhs,2811.138654470233,0.003333888152048041,0.9973118969680667,0.7176203474661995,1000000,2048,optimal,37.10709081037619,7,3,3.3333333333333335,optimal,34.30863149645941,7,3,3.3333333333333335,4.85657334919507,9.505973931238978,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lhs028,lhs,2811.138654470233,0.003333888152048041,0.9973118969680667,0.7176203474661995,20,2048,optimal,37.10709081037619,7,3,3.3333333333333335,optimal,34.30863149645941,7,3,3.3333333333333335,4.85657334919507,9.505973931238978,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lhs028,lhs,2811.138654470233,0.003333888152048041,0.9973118969680667,0.7176203474661995,10,2048,optimal,37.10709081037619,7,3,3.3333333333333335,optimal,34.30863149645941,7,3,3.3333333333333335,4.85657334919507,9.505973931238978,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lhs029,lhs,5580.745351066066,0.0024037656220159756,0.9540477633180251,0.6370027960865898,1000000,2048,optimal,26.309643952264707,4,2,3.0,optimal,24.56839455508714,4,2,3.0,9.505973931238978,10.97073744949521,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lhs029,lhs,5580.745351066066,0.0024037656220159756,0.9540477633180251,0.6370027960865898,20,2048,optimal,26.309643952264707,4,2,3.0,optimal,24.56839455508714,4,2,3.0,9.505973931238978,10.97073744949521,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lhs029,lhs,5580.745351066066,0.0024037656220159756,0.9540477633180251,0.6370027960865898,10,2048,optimal,26.309643952264707,4,2,3.0,optimal,24.56839455508714,4,2,3.0,9.505973931238978,10.97073744949521,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lhs030,lhs,153791.21448588002,0.018238094526303723,0.9761696152349769,0.7876876735530454,1000000,2048,optimal,222.92088390454083,55,18,9.0,optimal,198.327661067126,55,18,9.0,0.0012830393180858202,1.0498069184591903,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lhs030,lhs,153791.21448588002,0.018238094526303723,0.9761696152349769,0.7876876735530454,20,2048,optimal,122.3495776698459,20,18,6.111111111111111,optimal,103.95023868123434,20,18,6.111111111111111,0.0006415196590429101,0.002722633110573114,changed,routing,0.20342235654800334,0.0,0.011301242030444629,0.9047619047619048,1.0,1.0,0.0,0.0,3.0,8.0,0.0,0.0,0.011301242030444957
lhs030,lhs,153791.21448588002,0.018238094526303723,0.9761696152349769,0.7876876735530454,10,2048,optimal,-108.07276437901525,10,16,3.25,optimal,-115.2839843497489,10,16,3.25,8.095430810031051e-09,2.9388583350259428e-08,tie,,-1.4210854715202004e-14,-2.842170943040401e-14,-8.881784197001252e-16,0.8181818181818182,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,-2.7755575615628914e-17
lhs031,lhs,30857.645203420903,0.01250062169889073,0.9827881254526454,0.6643924316692816,1000000,2048,optimal,150.85303127522621,55,16,8.3125,optimal,129.40152290434435,55,16,8.3125,0.5488958728243383,1.1801842801228795,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lhs031,lhs,30857.645203420903,0.01250062169889073,0.9827881254526454,0.6643924316692816,20,2048,optimal,29.34063894607365,20,16,4.3125,optimal,17.447602375559267,20,16,4.25,1.3655259465352438e-05,0.0018966979868826786,changed,routing,1.0124543560549206,0.40320712424539806,0.06327839725343254,0.5384615384615384,6.0,6.0,0.0,0.0,7.0,0.0,-0.0625,0.0,0.059600627458267996
lhs031,lhs,30857.645203420903,0.01250062169889073,0.9827881254526454,0.6643924316692816,10,2048,optimal,-101.11186454979311,10,14,2.7142857142857144,optimal,-106.17321364031511,10,14,2.7142857142857144,8.095430810031051e-09,2.91458605948151e-06,tie,,-1.4210854715202004e-14,0.0,-1.0150610510858574e-15,0.42857142857142855,4.0,4.0,0.0,0.0,6.0,2.0,0.0,0.0,-1.586032892321652e-17
lhs032,lhs,9914.2590534412,0.06300028674663698,0.9423784416202515,0.7852163218157249,1000000,2048,optimal,109.64432167400945,55,18,7.611111111111111,optimal,86.74303401268934,55,18,7.611111111111111,0.0006430429264664531,0.9546285300943835,changed,routing,0.1716725854853962,0.0,0.009537365860299789,1.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.00953736586030098
