point,budget,memories,plan,pair,hops,width,max_link_km,repeaters,wp_min,utility_under_paper,utility_under_coordinated,utility_under_ext
projected,30,100,ext,Ottawa-Toronto,3,27,225.0,TOR-OTT:4;TOR-OTT:1,3.6005078668409747e-07,-4.961027301928206,-4.9611981649829655,-21.65582310966307
projected,30,100,ext,Saskatoon-Vancouver,20,14,144.0,CAL-SAS:7;CAL-SAS:6;CAL-SAS:5;CAL-SAS:4;CAL-SAS:3;CAL-SAS:2;CAL-SAS:1;Calgary;KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:1,0.00012768151750982735,2.151296963813545,2.1509869785217517,-95.1756073561661
projected,20,100,paper,Calgary-Edmonton,4,27,75.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3,0.0640270900528647,12.399288867945556,11.342078951206348,0.3266434913332261
projected,20,100,paper,Calgary-Kamloops,5,14,150.0,KAM-CAL:7;KAM-CAL:5;KAM-CAL:3;KAM-CAL:1,7.872778552664888e-05,2.6518808282497344,1.7773338797792697,-34.48362104735317
projected,20,100,paper,Calgary-Kelowna,6,14,150.0,KAM-CAL:7;KAM-CAL:5;KAM-CAL:3;KAM-CAL:1;KAM-KEL:1,7.872778552664888e-05,2.5720586929199047,1.6764588783464178,-52.825192917199544
projected,20,100,paper,Calgary-Saskatoon,6,27,151.4,CAL-EDM:1;CAL-EDM:3;EDM-SAS:1;EDM-SAS:3;EDM-SAS:5,0.00013532055307936385,3.353494868281405,2.2088828458434353,-51.81262824673529
projected,20,100,paper,Calgary-Vancouver,7,14,150.0,KAM-CAL:7;KAM-CAL:5;KAM-CAL:3;KAM-CAL:1;VAN-KAM:4;VAN-KAM:2,7.872778552664888e-05,2.492228589859717,1.4184719906715861,-68.86289770558476
projected,20,100,paper,Edmonton-Kamloops,7,14,150.0,CAL-EDM:2;Calgary;KAM-CAL:7;KAM-CAL:5;KAM-CAL:3;KAM-CAL:1,7.872778552664888e-05,2.492228589859717,1.3010092722371611,-61.90891390481582
projected,20,100,paper,Edmonton-Kelowna,8,7,150.0,CAL-EDM:3;CAL-EDM:1;KAM-CAL:7;KAM-CAL:5;KAM-CAL:3;KAM-CAL:1;KAM-KEL:1,3.936389276332444e-05,1.41239047583717,0.2144548526048787,-88.23816240929854
projected,20,100,paper,Edmonton-Saskatoon,4,27,151.4,EDM-SAS:1;EDM-SAS:3;EDM-SAS:5,0.00013532055307936385,3.5131312141218647,2.6385831848062855,-26.279850077659404
projected,20,100,paper,Edmonton-Vancouver,9,14,150.0,CAL-EDM:2;Calgary;KAM-CAL:7;KAM-CAL:5;KAM-CAL:3;KAM-CAL:1;VAN-KAM:4;VAN-KAM:2,7.872778552664888e-05,2.3325443072962417,1.041645978382847,-96.28822260722086
projected,20,100,paper,Kamloops-Kelowna,3,27,63.3,KAM-KEL:1;KAM-KEL:2,0.16394459283656687,13.835549168309454,12.965442703707554,8.280956820424112
projected,20,100,paper,Kamloops-Saskatoon,10,7,151.4,KAM-CAL:1;KAM-CAL:3;KAM-CAL:5;KAM-CAL:7;CAL-EDM:1;CAL-EDM:3;EDM-SAS:1;EDM-SAS:3;EDM-SAS:5,3.508310635390915e-05,1.086593635609302,-0.31743558876408196,-122.31396348908066
projected,20,100,paper,Kamloops-Vancouver,3,27,144.0,VAN-KAM:4;VAN-KAM:2,0.0002462429266260956,4.456638847077467,3.8716036459593663,-11.204029335456328
projected,20,100,paper,Kelowna-Saskatoon,11,7,151.4,KAM-KEL:1;KAM-CAL:1;KAM-CAL:3;KAM-CAL:5;KAM-CAL:7;CAL-EDM:1;CAL-EDM:3;EDM-SAS:1;EDM-SAS:3;EDM-SAS:5,3.508310635390915e-05,1.0067312260513106,-0.39857050184523435,-141.66725526924347
projected,20,100,paper,Kelowna-Vancouver,4,27,144.0,KAM-KEL:1;VAN-KAM:4;VAN-KAM:2,0.0002462429266260956,4.376832518792575,3.705236761869039,-28.564480637897212
projected,20,100,paper,Montreal-Ottawa,3,27,66.7,OTT-MON:2;OTT-MON:1,0.12532289850754513,13.447990890572596,12.57684795799653,7.196809503183356
projected,20,100,paper,Montreal-Toronto,5,52,150.0,OTT-MON:1;Ottawa;TOR-OTT:4;TOR-OTT:2,0.00029241748909898153,4.544965624333222,3.664021464638777,-30.95607075522566
projected,20,100,paper,Ottawa-Toronto,3,27,150.0,TOR-OTT:4;TOR-OTT:2,0.00015183215780139426,3.7590339471511207,2.884540378930956,-21.61175244352274
projected,20,100,paper,Saskatoon-Vancouver,12,7,151.4,EDM-SAS:5;EDM-SAS:3;EDM-SAS:1;CAL-EDM:3;CAL-EDM:1;KAM-CAL:7;KAM-CAL:5;KAM-CAL:3;KAM-CAL:1;VAN-KAM:4;VAN-KAM:2,3.508310635390915e-05,0.9268606293303272,-0.512925079932049,-158.70513115560493
projected,20,100,coordinated,Calgary-Edmonton,4,27,75.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3,0.0640270900528647,12.399288867945556,11.342078951206348,0.3266434913332261
projected,20,100,coordinated,Calgary-Kamloops,5,14,150.0,KAM-CAL:7;KAM-CAL:5;KAM-CAL:3;KAM-CAL:1,7.872778552664888e-05,2.6518808282497344,1.7773338797792697,-34.48362104735317
